Date,Real,Predicho
2025-01-08,242.43344721589185,202.99870164236842
2025-01-10,236.58986919817036,203.3847544089196
2025-01-13,234.1425603511661,203.82274873507546
2025-01-14,233.02378656891727,204.21753275339935
2025-01-15,237.60874994938553,204.52697582697735
2025-01-16,228.00930193188978,204.56941158828113
2025-01-17,229.72741042923374,204.67343553413198
2025-01-21,222.39548257976713,204.69667192997863
2025-01-22,223.58417678951815,204.65991617654848
2025-01-23,223.4143633309823,204.5414809710513
2025-01-24,222.5353234347715,204.43004015541507
2025-01-27,229.6075434862147,204.34580235269422
2025-01-28,237.9983233819741,204.34418284631704
2025-01-29,239.0971232522376,204.41919650401996
2025-01-30,237.32904476826988,204.5187374684499
2025-01-31,235.74082537659797,204.55955372337647
2025-02-03,227.7595928254125,204.60806850137146
2025-02-04,232.5443187968412,204.56790943743852
2025-02-05,232.2146905713156,204.4494272897275
2025-02-06,232.96386483296124,204.39053828247575
2025-02-07,227.37999461326316,204.4593555679529
2025-02-10,227.6499827561157,204.399668543066
2025-02-11,232.61998964553774,204.454872586532
2025-02-12,236.86999685921052,204.50721315495423
2025-02-13,241.5299973684886,204.57020960591626
2025-02-14,244.5999946819692,204.63822887375827
2025-02-18,244.47001169186947,204.6839975322441
2025-02-19,244.87000629592865,204.69592085455733
2025-02-20,245.82999803989205,204.6936676282934
2025-02-21,245.5500112054934,204.65768642139147
2025-02-24,247.09999616399944,204.61459346909405
2025-02-25,247.04000401472263,204.46538764243027
2025-02-26,240.3600096309495,204.3917587800354
2025-02-27,237.300011009015,204.47195955236668
2025-02-28,241.8400037486326,204.56668893987887
2025-03-03,238.03000937631043,204.47186566793903
2025-03-04,235.93000249833938,204.54237287311412
2025-03-05,235.74000388785592,204.5857005364807
2025-03-06,235.3300105922506,204.647781614273
2025-03-07,239.07001412374984,204.6832699279297
2025-03-10,227.4800049998314,204.67284875645908
2025-03-11,220.8400053822428,204.69688316994086
2025-03-12,216.97999408108305,204.67812975551513
2025-03-13,209.67998693702194,204.6174804152447
2025-03-14,213.49000478045102,204.47749873359882
