step,date,action,balance,shares_held,price,total_asset,reward,real_shares_bought,real_shares_sold
109,2024-01-24,2,999.0608346557617,0.0,207.8300018310547,999.0608346557617,[-0.2],0.0,0.0
110,2024-01-25,2,999.0608346557617,0.0,182.6300048828125,999.0608346557617,[-0.2],0.0,0.0
111,2024-01-26,2,999.0608346557617,0.0,183.25,999.0608346557617,[-0.2],0.0,0.0
112,2024-01-29,2,999.0608346557617,0.0,190.92999267578125,999.0608346557617,[-0.2],0.0,0.0
113,2024-01-30,2,999.0608346557617,0.0,191.58999633789065,999.0608346557617,[-0.2],0.0,0.0
114,2024-01-31,2,999.0608346557617,0.0,187.2899932861328,999.0608346557617,[-0.2],0.0,0.0
115,2024-02-01,2,999.0608346557617,0.0,188.8600006103516,999.0608346557617,[-0.2],0.0,0.0
116,2024-02-02,1,371.4080254821778,3.0,187.9100036621093,935.1380364685057,[-0.763811],3.0,0.0
117,2024-02-05,2,997.5731836547852,0.0,181.0599975585937,997.5731836547852,[0.7871053],0.0,3.0
118,2024-02-06,2,997.5731836547852,0.0,185.1000061035156,997.5731836547852,[-0.2],0.0,0.0
119,2024-02-07,2,997.5731836547852,0.0,187.5800018310547,997.5731836547852,[-0.2],0.0,0.0
120,2024-02-08,2,997.5731836547852,0.0,189.5599975585937,997.5731836547852,[-0.2],0.0,0.0
121,2024-02-09,2,997.5731836547852,0.0,193.57000732421875,997.5731836547852,[-0.2],0.0,0.0
122,2024-02-12,2,997.5731836547852,0.0,188.1300048828125,997.5731836547852,[-0.2],0.0,0.0
123,2024-02-13,2,997.5731836547852,0.0,184.0200042724609,997.5731836547852,[-0.2],0.0,0.0
124,2024-02-14,2,997.5731836547852,0.0,188.7100067138672,997.5731836547852,[-0.2],0.0,0.0
125,2024-02-15,2,997.5731836547852,0.0,200.4499969482422,997.5731836547852,[-0.2],0.0,0.0
126,2024-02-16,0,997.5731836547852,0.0,199.9499969482422,997.5731836547852,[-0.105],0.0,0.0
127,2024-02-20,2,997.5731836547852,0.0,193.759994506836,997.5731836547852,[-0.2],0.0,0.0
128,2024-02-21,2,997.5731836547852,0.0,194.7700042724609,997.5731836547852,[-0.2],0.0,0.0
129,2024-02-22,2,997.5731836547852,0.0,197.4100036621093,997.5731836547852,[-0.2],0.0,0.0
130,2024-02-23,2,997.5731836547852,0.0,191.97000122070312,997.5731836547852,[-0.2],0.0,0.0
