step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward
30,2024-10-30,0,4423.529690206051,0.2225248900226316,2788.5,2588.0,5044.040346034159,0.07647295296192169
31,2024-10-31,0,4423.529690206051,0.2225248900226316,2738.300048828125,2588.0,5032.869607420496,0.057075753808021545
32,2024-11-01,0,4423.529690206051,0.2225248900226316,2738.60009765625,2588.0,5032.936375752976,0.05719169229269028
33,2024-11-04,0,4423.529690206051,0.2225248900226316,2736.10009765625,2588.0,5032.380063527919,0.056225694715976715
34,2024-11-05,0,4423.529690206051,0.2225248900226316,2740.300048828125,2588.0,5033.314657200542,0.057848550379276276
35,2024-11-06,0,4423.529690206051,0.2225248900226316,2667.60009765625,2588.0,5017.137108561369,0.02975737862288952
36,2024-11-07,0,4423.529690206051,0.2225248900226316,2698.39990234375,2588.0,5023.9908317121735,0.04165838658809662
37,2024-11-08,0,4423.529690206051,0.2225248900226316,2687.5,2588.0,5021.565332141873,0.037446677684783936
38,2024-11-11,0,4423.529690206051,0.2225248900226316,2611.199951171875,2588.0,5004.586672167673,0.00796443223953247
39,2024-11-12,0,4494.504903667806,0.19519940551437137,2600.0,2588.0,5002.023358005171,0.012704181484878063
40,2024-11-13,0,4555.887372180949,0.17139131838516175,2580.800048828125,2588.0,4998.214095038091,0.006737167946994305
41,2024-11-14,0,4612.543568846712,0.14930857145984502,2568.199951171875,2588.0,4995.997834779429,0.00717258732765913
42,2024-11-15,0,4662.910454981145,0.12965806501038935,2565.699951171875,2588.0,4995.574146047341,0.007825522683560848
43,2024-11-18,0,4662.910454981145,0.12965806501038935,2610.60009765625,2588.0,5001.395812159189,0.004796687047928572
44,2024-11-19,0,4662.910454981145,0.12965806501038935,2627.10009765625,2588.0,5003.535170231859,0.011506051756441593
45,2024-11-20,0,4662.910454981145,0.12965806501038935,2648.199951171875,2588.0,5006.270936410699,0.019714927300810814
46,2024-11-21,0,4662.910454981145,0.12965806501038935,2672.10009765625,2588.0,5009.369783157327,0.02918103337287903
47,2024-11-22,0,4662.910454981145,0.12965806501038935,2709.89990234375,2588.0,5014.270832690879,-0.003071951912716031
48,2024-11-25,0,4662.910454981145,0.12965806501038935,2616.800048828125,2588.0,5002.199685831292,-0.0010000000474974513
49,2024-11-26,0,4662.910454981145,0.12965806501038935,2620.300048828125,2588.0,5002.653489058829,-0.0034812497906386852
50,2024-11-27,0,4662.910454981145,0.12965806501038935,2639.89990234375,2588.0,5005.194768140152,-0.003342667128890753
51,2024-11-29,0,4662.910454981145,0.12965806501038935,2657.0,2588.0,5007.41193371375,-0.0031526379752904177
52,2024-12-02,0,4662.910454981145,0.12965806501038935,2634.89990234375,2588.0,5004.5464778151,-0.0010000000474974513
53,2024-12-03,0,4662.910454981145,0.12965806501038935,2644.699951171875,2588.0,5005.817133183162,-0.003156423568725586
54,2024-12-04,0,4662.910454981145,0.12965806501038935,2653.800048828125,2588.0,5006.997034236677,-0.0031081365887075663
55,2024-12-05,0,4662.910454981145,0.12965806501038935,2626.60009765625,2588.0,5003.470341199354,-0.0010000000474974513
56,2024-12-06,0,4662.910454981145,0.12965806501038935,2638.60009765625,2588.0,5005.026237979479,-0.003270538989454508
57,2024-12-09,0,4662.910454981145,0.12965806501038935,2664.89990234375,2588.0,5008.436219765412,-0.0031565523240715265
58,2024-12-10,0,4662.910454981145,0.12965806501038935,2697.60009765625,2588.0,5012.676063815092,-0.0010000000474974513
59,2024-12-11,0,4662.910454981145,0.12965806501038935,2733.800048828125,2588.0,5017.369679437508,-0.0010000000474974513
60,2024-12-12,0,4662.910454981145,0.12965806501038935,2687.5,2588.0,5011.366504696567,-0.0010000000474974513
61,2024-12-13,0,4662.910454981145,0.12965806501038935,2656.0,2588.0,5007.282275648739,-0.0010000000474974513
62,2024-12-16,0,4662.910454981145,0.12965806501038935,2651.39990234375,2588.0,5006.685835887772,-0.0010000000474974513
63,2024-12-17,0,4662.910454981145,0.12965806501038935,2644.39990234375,2588.0,5005.778229432699,-0.0010000000474974513
64,2024-12-18,0,4662.910454981145,0.12965806501038935,2636.5,2588.0,5004.753943381037,-0.0010000000474974513
65,2024-12-19,0,4662.910454981145,0.12965806501038935,2592.199951171875,2588.0,4999.010084770117,-0.0031288056634366512
66,2024-12-20,0,4662.910454981145,0.12965806501038935,2628.699951171875,2588.0,5003.742604142995,-0.003698294050991535
67,2024-12-23,0,4662.910454981145,0.12965806501038935,2612.300048828125,2588.0,5001.616224538746,-0.003332694759592414
68,2024-12-24,0,4662.910454981145,0.12965806501038935,2620.0,2588.0,5002.614585308365,-0.003557699965313077
69,2024-12-26,0,4662.910454981145,0.12965806501038935,2638.800048828125,2588.0,5005.052163261521,-0.0035319954622536898
70,2024-12-27,0,4662.910454981145,0.12965806501038935,2617.199951171875,2588.0,5002.251536395376,-0.0032936399802565575
71,2024-12-30,0,4662.910454981145,0.12965806501038935,2606.10009765625,2588.0,5000.812350866641,-0.003541969694197178
72,2024-12-31,0,4662.910454981145,0.12965806501038935,2629.199951171875,2588.0,5003.807433175501,-0.0037042968906462193
73,2025-01-02,0,4662.910454981145,0.12965806501038935,2658.89990234375,2588.0,5007.65827137535,-0.0034841822925955057
74,2025-01-03,0,4662.910454981145,0.12965806501038935,2645.0,2588.0,5005.856036933626,-0.003170081414282322
75,2025-01-06,0,4662.910454981145,0.12965806501038935,2638.39990234375,2588.0,5005.000281042636,-0.0031639551743865013
76,2025-01-07,0,4662.910454981145,0.12965806501038935,2656.699951171875,2588.0,5007.373029963286,-0.0031501329503953457
77,2025-01-08,0,4662.910454981145,0.12965806501038935,2664.5,2588.0,5008.384369201328,-0.0010000000474974513
78,2025-01-09,0,4662.910454981145,0.12965806501038935,2683.800048828125,2588.0,5010.886776186989,-0.0010000000474974513
79,2025-01-10,0,4662.910454981145,0.12965806501038935,2708.5,2588.0,5014.089324061785,-0.0010000000474974513
80,2025-01-13,0,4662.910454981145,0.12965806501038935,2673.5,2588.0,5009.551291786422,-0.0010000000474974513
81,2025-01-14,0,4662.910454981145,0.12965806501038935,2677.5,2588.0,5010.069924046463,-0.0010000000474974513
82,2025-01-15,0,4662.910454981145,0.12965806501038935,2712.5,2588.0,5014.607956321826,-0.0010000000474974513
83,2025-01-16,0,4662.910454981145,0.12965806501038935,2746.39990234375,2588.0,5019.003352063758,-0.0010000000474974513
84,2025-01-17,0,4662.910454981145,0.12965806501038935,2744.300048828125,2588.0,5018.731089120117,-0.0010000000474974513
85,2025-01-21,0,4662.910454981145,0.12965806501038935,2755.0,2588.0,5020.118424084768,0.06352858990430832
86,2025-01-22,0,4662.910454981145,0.12965806501038935,2767.60009765625,2588.0,5021.75212836582,0.06839725375175476
87,2025-01-23,0,4662.910454981145,0.12965806501038935,2763.10009765625,2588.0,5021.168667073272,0.06665845960378647
88,2025-01-24,0,4662.910454981145,0.12965806501038935,2777.300048828125,2588.0,5023.00980526546,0.07214530557394028
89,2025-01-27,0,4662.910454981145,0.12965806501038935,2737.5,2588.0,5017.849407947087,0.05676661431789398
90,2025-01-28,0,4662.910454981145,0.12965806501038935,2766.800048828125,2588.0,5021.648395582851,0.0680881142616272
91,2025-01-29,0,4662.910454981145,0.12965806501038935,2769.10009765625,2588.0,5021.946615463335,0.06897685676813126
92,2025-01-30,0,4662.910454981145,0.12965806501038935,2823.0,2588.0,5028.935172505475,0.08980371057987213
