step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
19,2023-08-01,1,79.15488046264676,7.0,131.69000244140625,133.93571036202567,1000.9848975524906,[1.2437189],0.0,0.0
20,2023-08-02,2,987.0554873657229,0.0,128.2100067138672,0.0,987.0554873657229,[-1.50958],0.0,7.0
21,2023-08-03,1,596.2754873657229,3.0,128.91000366210938,130.0,983.0054983520511,[-0.99132025],3.0,0.0
22,2023-08-04,2,981.9026965026858,0.0,139.57000732421875,0.0,981.9026965026858,[-1.3517392],0.0,3.0
23,2023-08-07,1,593.7379018249515,3.0,142.22000122070312,129.1300048828125,1020.3979054870608,[-0.991044],3.0,0.0
24,2023-08-08,1,208.51902017211944,6.0,139.94000244140625,128.63999938964844,1048.1590348205568,[-1.1295528],3.0,0.0
25,2023-08-09,1,80.01252017211945,7.0,137.85000610351562,128.58428519112724,1044.9625628967287,[0.33651584],1.0,0.0
26,2023-08-10,1,80.01252017211945,7.0,138.55999755859375,128.58428519112724,1049.9325030822756,[1.2922088],0.0,0.0
27,2023-08-11,1,80.01252017211945,7.0,138.41000366210938,128.58428519112724,1048.882545806885,[1.073503],0.0,0.0
28,2023-08-14,1,80.01252017211945,7.0,140.57000732421875,128.58428519112724,1064.0025714416506,[-1.2417898],0.0,0.0
29,2023-08-15,2,975.6876270751957,0.0,137.6699981689453,0.0,975.6876270751957,[-1.5679716],0.0,7.0
30,2023-08-16,1,588.184156066895,3.0,135.07000732421875,128.91000366210938,993.3941780395512,[-0.9909741],3.0,0.0
31,2023-08-17,1,168.6367140502934,6.0,133.97999572753906,134.24000549316406,972.5166884155278,[1.4542165],3.0,0.0
32,2023-08-18,1,26.132272827148853,7.0,133.22000122070312,135.3800048828125,958.6722813720708,[1.4014505],1.0,0.0
33,2023-08-21,2,1003.7531298828129,0.0,134.67999267578125,0.0,1003.7531298828129,[2.219951],0.0,7.0
34,2023-08-22,1,589.3760115356449,3.0,134.25,137.85000610351562,992.1260115356449,[-1.0938127],3.0,0.0
35,2023-08-23,1,172.8646588745121,6.0,135.52000427246094,138.2050018310547,985.9846845092777,[0.43759227],3.0,0.0
36,2023-08-24,1,34.17783520507848,7.0,131.83999633789062,138.23428780691964,957.0578095703129,[-1.0673704],1.0,0.0
37,2023-08-25,1,34.17783520507848,7.0,133.25999450683594,138.23428780691964,966.9977967529301,[1.2072937],0.0,0.0
38,2023-08-28,1,34.17783520507848,7.0,133.13999938964844,138.23428780691964,966.1578309326176,[-1.2959002],0.0,0.0
39,2023-08-29,2,977.7769063720707,0.0,134.91000366210938,0.0,977.7769063720707,[-1.454541],0.0,7.0
40,2023-08-30,1,575.0330392150883,3.0,135.07000732421875,133.97999572753906,980.2430611877445,[-0.992584],3.0,0.0
