step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
16,2023-09-11,2,1084.1541147766116,0.0,273.5799865722656,0.0,1084.1541147766116,[2.7429416],0.0,4.0
17,2023-09-12,1,311.0710567932131,3.0,267.4800109863281,257.17999267578125,1113.5110897521974,[-1.1316305],3.0,0.0
18,2023-09-13,0,311.0710567932131,3.0,271.29998779296875,257.17999267578125,1124.9710201721193,[-1.21752],0.0,0.0
19,2023-09-14,2,1083.7625365905765,0.0,276.0400085449219,0.0,1083.7625365905765,[2.8226097],0.0,3.0
20,2023-09-15,1,347.2624931030274,3.0,274.3900146484375,245.00999450683602,1170.4325370483398,[-1.1427811],3.0,0.0
21,2023-09-18,2,1115.193523864746,0.0,265.2799987792969,0.0,1115.193523864746,[5.100007],0.0,3.0
22,2023-09-19,1,357.9220093688965,3.0,266.5,251.9199981689453,1157.4220093688964,[-1.129967],3.0,0.0
23,2023-09-20,2,1110.8830858154297,0.0,262.5899963378906,0.0,1110.8830858154297,[-1.1837009],0.0,3.0
24,2023-09-21,1,363.8920858154297,3.0,255.6999969482422,248.5,1130.9920766601563,[-1.1288851],3.0,0.0
25,2023-09-22,2,1182.990565612793,0.0,244.8800048828125,0.0,1182.990565612793,[5.118021],0.0,3.0
26,2023-09-25,1,378.94565258789066,3.0,246.9900054931641,267.4800109863281,1119.915669067383,[-1.1348869],3.0,0.0
27,2023-09-26,2,1191.217816040039,0.0,244.1199951171875,0.0,1191.217816040039,[4.408843],0.0,3.0
28,2023-09-27,1,361.4415503540039,3.0,240.5,276.0400085449219,1082.941550354004,[-1.137592],3.0,0.0
29,2023-09-28,2,1182.9652542114259,0.0,246.3800048828125,0.0,1182.9652542114259,[-1.5019206],0.0,3.0
30,2023-09-29,1,385.5335778808594,3.0,250.22000122070312,265.2799987792969,1136.1935815429688,[-1.1341914],3.0,0.0
31,2023-10-02,2,1183.4345778808593,0.0,251.6000061035156,0.0,1183.4345778808593,[2.9907663],0.0,3.0
32,2023-10-03,1,394.08904888916004,3.0,246.52999877929688,262.5899963378906,1133.6790452270507,[-1.1333411],3.0,0.0
33,2023-10-04,2,1159.6548397521972,0.0,261.1600036621094,0.0,1159.6548397521972,[-1.4431725],0.0,3.0
34,2023-10-05,1,423.5455450744628,3.0,260.04998779296875,244.8800048828125,1203.695508453369,[-1.1277399],3.0,0.0
35,2023-10-06,2,1163.0336215209961,0.0,260.5299987792969,0.0,1163.0336215209961,[3.8338535],0.0,3.0
36,2023-10-09,1,429.20891619873055,3.0,259.6700134277344,244.1199951171875,1208.2189564819337,[-1.1274995],3.0,0.0
37,2023-10-10,1,188.22791619873055,4.0,263.6199951171875,243.21499633789062,1242.7078966674806,[-1.0780684],1.0,0.0
38,2023-10-11,1,188.22791619873055,4.0,262.989990234375,243.21499633789062,1240.1878771362306,[1.2820448],0.0,0.0
39,2023-10-12,1,188.22791619873055,4.0,258.8699951171875,243.21499633789062,1223.7078966674806,[1.2114456],0.0,0.0
40,2023-10-13,2,1192.6151405639648,0.0,251.1199951171875,0.0,1192.6151405639648,[4.613667],0.0,4.0
41,2023-10-16,1,451.5459642333984,3.0,253.9199981689453,246.52999877929688,1213.3059587402345,[-1.128262],3.0,0.0
42,2023-10-17,1,189.86364056396485,4.0,254.8500061035156,250.1875,1209.2636649780272,[1.4735479],1.0,0.0
43,2023-10-18,1,189.86364056396485,4.0,242.67999267578125,250.1875,1160.58361126709,[-1.2133201],0.0,0.0
44,2023-10-19,2,1229.899395690918,0.0,220.1100006103516,0.0,1229.899395690918,[2.587595],0.0,4.0
45,2023-10-20,1,449.3313353271485,3.0,211.9900054931641,259.6700134277344,1085.301351806641,[-1.0324179],3.0,0.0
46,2023-10-23,2,1238.6096007080077,0.0,212.0800018310547,0.0,1238.6096007080077,[4.453817],0.0,3.0
47,2023-10-24,1,448.0616900634765,3.0,216.5200042724609,262.989990234375,1097.6217028808592,[-1.1334676],3.0,0.0
48,2023-10-25,2,1223.1184554443357,0.0,212.4199981689453,0.0,1223.1184554443357,[-1.1192448],0.0,3.0
49,2023-10-26,1,468.2517501220701,3.0,205.759994506836,251.1199951171875,1085.5317336425783,[-1.129714],3.0,0.0
