step,date,action,balance,shares_held,price,avg_buy_price,total_asset,reward,real_shares_bought,real_shares_sold
61,2024-11-13,2,1086.7921310424804,0.0,224.8727569580078,0.0,1086.7921310424804,[-1.2092057],0.0,3.0
62,2024-11-14,1,418.19619464111315,3.0,227.9693603515625,222.42047119140625,1102.1042756958007,[-1.1206309],3.0,0.0
63,2024-11-15,1,196.2307040710448,4.0,224.7528839111328,222.19596481323242,1095.242239715576,[-1.05156],1.0,0.0
64,2024-11-18,0,196.2307040710448,4.0,227.7695770263672,222.19596481323242,1107.3090121765135,[0.91883004],0.0,0.0
65,2024-11-19,0,196.2307040710448,4.0,228.0292816162109,222.19596481323242,1108.3478305358885,[-1.2087407],0.0,0.0
66,2024-11-20,0,196.2307040710448,4.0,228.7484893798828,222.19596481323242,1111.224661590576,[1.3562218],0.0,0.0
67,2024-11-21,2,1101.2599747009276,0.0,228.2690277099609,0.0,1101.2599747009276,[2.6140833],0.0,4.0
68,2024-11-22,1,427.9648699035646,3.0,229.61753845214844,223.9837341308593,1116.81748526001,[-1.1211259],3.0,0.0
69,2024-11-25,0,427.9648699035646,3.0,232.6142425537109,223.9837341308593,1125.8075975646973,[-1.],0.0,0.0
70,2024-11-26,0,427.9648699035646,3.0,234.8018341064453,223.9837341308593,1132.3703722229006,[0.6605579],0.0,0.0
71,2024-11-27,0,427.9648699035646,3.0,234.67198181152344,223.9837341308593,1131.980815338135,[1.1301185],0.0,0.0
72,2024-11-29,1,202.7624802246095,4.0,237.06935119628903,224.17602157592768,1151.0398850097656,[-1.0527683],1.0,0.0
73,2024-12-02,0,202.7624802246095,4.0,239.3268585205078,224.17602157592768,1160.0699143066408,[1.23568],0.0,0.0
74,2024-12-03,0,202.7624802246095,4.0,242.3834991455078,224.17602157592768,1172.2964768066408,[0.50350976],0.0,0.0
75,2024-12-04,2,1115.9264498291018,0.0,242.7431030273437,0.0,1115.9264498291018,[4.03206],0.0,4.0
76,2024-12-05,1,429.7497525329593,3.0,242.7730712890625,228.2690277099609,1158.0689664001468,[-1.0224828],3.0,0.0
77,2024-12-06,0,429.7497525329593,3.0,242.5732879638672,228.2690277099609,1157.4696164245609,[0.7838381],0.0,0.0
78,2024-12-09,0,429.7497525329593,3.0,246.47900390625,228.2690277099609,1169.1867642517093,[1.1158161],0.0,0.0
79,2024-12-10,0,429.7497525329593,3.0,247.4978790283203,228.2690277099609,1172.2433896179202,[0.97588074],0.0,0.0
80,2024-12-11,0,429.7497525329593,3.0,246.2192840576172,228.2690277099609,1168.4076047058109,[-1.2011687],0.0,0.0
81,2024-12-12,2,1139.5353900146488,0.0,247.68768310546875,0.0,1139.5353900146488,[4.589252],0.0,3.0
82,2024-12-13,1,420.1188533020023,3.0,247.85748291015625,239.3268585205078,1163.691302032471,[-1.1259829],3.0,0.0
83,2024-12-16,1,177.2505871582035,4.0,250.7642822265625,240.0910186767578,1180.3077160644534,[1.1763855],1.0,0.0
84,2024-12-17,0,177.2505871582035,4.0,253.2015991210937,240.0910186767578,1190.0569836425782,[0.54285765],0.0,0.0
85,2024-12-18,0,177.2505871582035,4.0,247.777572631836,240.0910186767578,1168.3608776855474,[0.41198674],0.0,0.0
86,2024-12-19,0,177.2505871582035,4.0,249.51565551757807,240.0910186767578,1175.3132092285157,[-1.2023973],0.0,0.0
