step,date,action,balance,shares_held,price,total_asset,reward,real_shares_bought,real_shares_sold
118,2025-02-07,0,1009.9190854492189,0,227.3800048828125,1009.9190854492189,[-0.2],0,0
119,2025-02-10,0,1009.9190854492189,0,227.6499938964844,1009.9190854492189,[-0.2],0,0
120,2025-02-11,0,1009.9190854492189,0,232.6199951171875,1009.9190854492189,[-0.005],0,0
121,2025-02-12,0,1009.9190854492189,0,236.8699951171875,1009.9190854492189,[-0.105],0,0
122,2025-02-13,0,1009.9190854492189,0,241.52999877929688,1009.9190854492189,[-0.005],0,0
123,2025-02-14,0,1009.9190854492189,0,244.6000061035156,1009.9190854492189,[-0.005],0,0
124,2025-02-18,0,1009.9190854492189,0,244.47000122070312,1009.9190854492189,[-0.2],0,0
125,2025-02-19,0,1009.9190854492189,0,244.8699951171875,1009.9190854492189,[-0.005],0,0
126,2025-02-20,0,1009.9190854492189,0,245.8300018310547,1009.9190854492189,[-0.005],0,0
127,2025-02-21,0,1009.9190854492189,0,245.5500030517578,1009.9190854492189,[-0.005],0,0
128,2025-02-24,0,1009.9190854492189,0,247.1000061035156,1009.9190854492189,[-0.105],0,0
129,2025-02-25,0,1009.9190854492189,0,247.0399932861328,1009.9190854492189,[-0.2],0,0
130,2025-02-26,2,1009.9190854492189,0,240.3600006103516,1009.9190854492189,[-0.2],0,0
131,2025-02-27,0,1009.9190854492189,0,237.3000030517578,1009.9190854492189,[-0.2],0,0
132,2025-02-28,0,1009.9190854492189,0,241.83999633789065,1009.9190854492189,[-0.2],0,0
133,2025-03-03,0,1009.9190854492189,0,238.02999877929688,1009.9190854492189,[-0.105],0,0
134,2025-03-04,0,1009.9190854492189,0,235.92999267578125,1009.9190854492189,[-0.105],0,0
135,2025-03-05,0,1009.9190854492189,0,235.7400054931641,1009.9190854492189,[-0.105],0,0
136,2025-03-06,0,1009.9190854492189,0,235.3300018310547,1009.9190854492189,[-0.105],0,0
137,2025-03-07,0,1009.9190854492189,0,239.07000732421875,1009.9190854492189,[-0.105],0,0
