step,date,action,balance,shares_held,price,total_asset,reward
85,2023-11-02,2,1005.1875142059325,0,15.50097370147705,1005.1875142059325,[0.]
86,2023-11-03,2,1005.1875142059325,0,15.916265487670898,1005.1875142059325,[0.]
87,2023-11-06,2,1005.1875142059325,0,15.732765197753906,1005.1875142059325,[0.]
88,2023-11-07,2,1005.1875142059325,0,15.22089385986328,1005.1875142059325,[0.]
89,2023-11-08,2,1005.1875142059325,0,14.651076316833496,1005.1875142059325,[0.]
90,2023-11-09,2,1005.1875142059325,0,14.776630401611328,1005.1875142059325,[0.]
91,2023-11-10,2,1005.1875142059325,0,14.699366569519045,1005.1875142059325,[0.]
92,2023-11-13,2,1005.1875142059325,0,14.612443923950195,1005.1875142059325,[0.]
93,2023-11-14,2,1005.1875142059325,0,15.172603607177734,1005.1875142059325,[0.]
94,2023-11-15,2,1005.1875142059325,0,15.07602596282959,1005.1875142059325,[0.]
95,2023-11-16,2,1005.1875142059325,0,15.33678913116455,1005.1875142059325,[0.]
96,2023-11-17,2,1005.1875142059325,0,15.172603607177734,1005.1875142059325,[0.]
97,2023-11-20,2,1005.1875142059325,0,15.24986743927002,1005.1875142059325,[0.]
98,2023-11-21,2,1005.1875142059325,0,15.636186599731444,1005.1875142059325,[0.]
99,2023-11-22,2,1005.1875142059325,0,15.684473991394045,1005.1875142059325,[0.]
100,2023-11-24,2,1005.1875142059325,0,15.67481803894043,1005.1875142059325,[0.]
101,2023-11-27,2,1005.1875142059325,0,16.003185272216797,1005.1875142059325,[0.]
102,2023-11-28,2,1005.1875142059325,0,16.843425750732422,1005.1875142059325,[0.]
103,2023-11-29,2,1005.1875142059325,0,16.891996383666992,1005.1875142059325,[0.]
104,2023-11-30,2,1005.1875142059325,0,17.086265563964844,1005.1875142059325,[0.]
105,2023-12-01,2,1005.1875142059325,0,17.222257614135742,1005.1875142059325,[0.]
106,2023-12-04,2,1005.1875142059325,0,17.027984619140625,1005.1875142059325,[0.]
107,2023-12-05,2,1005.1875142059325,0,16.92113494873047,1005.1875142059325,[0.]
108,2023-12-06,2,1005.1875142059325,0,16.862855911254883,1005.1875142059325,[0.]
109,2023-12-07,2,1005.1875142059325,0,16.726863861083984,1005.1875142059325,[0.]
110,2023-12-08,2,1005.1875142059325,0,16.30917739868164,1005.1875142059325,[0.]
111,2023-12-11,2,1005.1875142059325,0,16.192615509033203,1005.1875142059325,[0.]
112,2023-12-12,2,1005.1875142059325,0,15.872063636779783,1005.1875142059325,[0.]
113,2023-12-13,2,1005.1875142059325,0,16.930850982666016,1005.1875142059325,[0.]
114,2023-12-14,2,1005.1875142059325,0,17.144546508789062,1005.1875142059325,[0.]
115,2023-12-15,2,1005.1875142059325,0,17.00855827331543,1005.1875142059325,[0.]
116,2023-12-18,0,1005.1875142059325,0,17.222257614135742,1005.1875142059325,[0.]
117,2023-12-19,2,1005.1875142059325,0,17.57194709777832,1005.1875142059325,[0.]
118,2023-12-20,2,1005.1875142059325,0,17.2611141204834,1005.1875142059325,[0.]
119,2023-12-21,2,1005.1875142059325,0,17.455385208129883,1005.1875142059325,[0.]
120,2023-12-22,2,1005.1875142059325,0,17.639944076538086,1005.1875142059325,[0.]
121,2023-12-26,2,1005.1875142059325,0,17.649656295776367,1005.1875142059325,[0.]
122,2023-12-27,2,1005.1875142059325,0,17.941064834594727,1005.1875142059325,[0.]
123,2023-12-28,2,1005.1875142059325,0,17.57194709777832,1005.1875142059325,[0.]
124,2023-12-29,2,1005.1875142059325,0,17.57194709777832,1005.1875142059325,[0.]
125,2024-01-02,2,1005.1875142059325,0,17.367961883544922,1005.1875142059325,[0.]
126,2024-01-03,2,1005.1875142059325,0,16.833711624145508,1005.1875142059325,[0.]
127,2024-01-04,2,1005.1875142059325,0,16.853139877319336,1005.1875142059325,[0.]
128,2024-01-05,2,1005.1875142059325,0,16.9891300201416,1005.1875142059325,[0.]
129,2024-01-08,2,1005.1875142059325,0,17.18340492248535,1005.1875142059325,[0.]
130,2024-01-09,2,1005.1875142059325,0,16.90170669555664,1005.1875142059325,[0.]
131,2024-01-10,2,1005.1875142059325,0,16.843425750732422,1005.1875142059325,[0.]
132,2024-01-11,2,1005.1875142059325,0,16.65886688232422,1005.1875142059325,[0.]
133,2024-01-12,2,1005.1875142059325,0,17.13483238220215,1005.1875142059325,[0.]
134,2024-01-16,2,1005.1875142059325,0,15.502946853637695,1005.1875142059325,[0.]
135,2024-01-17,2,1005.1875142059325,0,15.11440086364746,1005.1875142059325,[0.]
136,2024-01-18,2,1005.1875142059325,0,15.085259437561035,1005.1875142059325,[0.]
137,2024-01-19,2,1005.1875142059325,0,15.162969589233398,1005.1875142059325,[0.]
138,2024-01-22,2,1005.1875142059325,0,15.143542289733888,1005.1875142059325,[0.]
139,2024-01-23,2,1005.1875142059325,0,15.532086372375488,1005.1875142059325,[0.]
140,2024-01-24,2,1005.1875142059325,0,15.085259437561035,1005.1875142059325,[0.]
141,2024-01-25,2,1005.1875142059325,0,15.143542289733888,1005.1875142059325,[0.]
142,2024-01-26,2,1005.1875142059325,0,15.085259437561035,1005.1875142059325,[0.]
143,2024-01-29,2,1005.1875142059325,0,15.250391006469728,1005.1875142059325,[0.]
144,2024-01-30,2,1005.1875142059325,0,15.230965614318848,1005.1875142059325,[0.]
145,2024-01-31,2,1005.1875142059325,0,15.153255462646484,1005.1875142059325,[0.]
146,2024-02-01,2,1005.1875142059325,0,15.43494987487793,1005.1875142059325,[0.]
147,2024-02-02,2,1005.1875142059325,0,14.968695640563965,1005.1875142059325,[0.]
148,2024-02-05,2,1005.1875142059325,0,14.73556900024414,1005.1875142059325,[0.]
149,2024-02-06,2,1005.1875142059325,0,14.599578857421877,1005.1875142059325,[0.]
150,2024-02-07,2,1005.1875142059325,0,14.502443313598633,1005.1875142059325,[0.]
151,2024-02-08,2,1005.1875142059325,0,14.39559268951416,1005.1875142059325,[0.]
152,2024-02-09,2,1005.1875142059325,0,14.249887466430664,1005.1875142059325,[0.]
153,2024-02-12,2,1005.1875142059325,0,14.3081693649292,1005.1875142059325,[0.]
154,2024-02-13,2,1005.1875142059325,0,13.744779586791992,1005.1875142059325,[0.]
155,2024-02-14,2,1005.1875142059325,0,13.657358169555664,1005.1875142059325,[0.]
156,2024-02-15,2,1005.1875142059325,0,14.181893348693848,1005.1875142059325,[0.]
157,2024-02-16,2,1005.1875142059325,0,14.230460166931152,1005.1875142059325,[0.]
158,2024-02-20,2,1005.1875142059325,0,14.3081693649292,1005.1875142059325,[0.]
159,2024-02-21,2,1005.1875142059325,0,14.327596664428713,1005.1875142059325,[0.]
160,2024-02-22,2,1005.1875142059325,0,13.977907180786133,1005.1875142059325,[0.]
161,2024-02-23,0,1005.1875142059325,0,14.31788444519043,1005.1875142059325,[0.]
162,2024-02-26,2,1005.1875142059325,0,14.230460166931152,1005.1875142059325,[0.]
163,2024-02-27,1,963.8707067680358,3,14.094470024108888,1006.1541168403625,[-0.20420589]
164,2024-02-28,2,1004.7608371276855,0,14.016221046447754,1004.7608371276855,[-0.6544414]
165,2024-02-29,2,1004.7608371276855,0,14.338994979858398,1004.7608371276855,[0.]
166,2024-03-01,2,1004.7608371276855,0,14.61286449432373,1004.7608371276855,[0.]
167,2024-03-04,2,1004.7608371276855,0,15.121479988098145,1004.7608371276855,[0.]
168,2024-03-05,2,1004.7608371276855,0,15.189945220947266,1004.7608371276855,[0.]
169,2024-03-06,2,1004.7608371276855,0,15.36600399017334,1004.7608371276855,[0.]
170,2024-03-07,2,1004.7608371276855,0,15.551844596862791,1004.7608371276855,[0.]
171,2024-03-08,2,1004.7608371276855,0,15.414911270141602,1004.7608371276855,[0.]
172,2024-03-11,2,1004.7608371276855,0,15.522500991821287,1004.7608371276855,[0.]
173,2024-03-12,2,1004.7608371276855,0,15.29753875732422,1004.7608371276855,[0.]
174,2024-03-13,2,1004.7608371276855,0,15.63009262084961,1004.7608371276855,[0.]
175,2024-03-14,2,1004.7608371276855,0,15.414911270141602,1004.7608371276855,[0.]
176,2024-03-15,2,1004.7608371276855,0,15.414911270141602,1004.7608371276855,[0.]
177,2024-03-18,2,1004.7608371276855,0,15.28775691986084,1004.7608371276855,[0.]
178,2024-03-19,2,1004.7608371276855,0,14.916078567504885,1004.7608371276855,[0.]
179,2024-03-20,2,1004.7608371276855,0,15.336662292480469,1004.7608371276855,[0.]
